,chembl_compound,uniprot_id,drugbankId
3037,CHEMBL.COMPOUND:CHEMBL3948730,UniProtKB:P00519,DB14989
3038,CHEMBL.COMPOUND:CHEMBL3948730,UniProtKB:O00329,DB14989
3039,CHEMBL.COMPOUND:CHEMBL435,UniProtKB:P55017,DB00999
3040,CHEMBL.COMPOUND:CHEMBL772,UniProtKB:Q05940,DB00206
3041,CHEMBL.COMPOUND:CHEMBL772,UniProtKB:Q05940,DB09363
3042,CHEMBL.COMPOUND:CHEMBL646,UniProtKB:P14867,DB00897
3043,CHEMBL.COMPOUND:CHEMBL646,UniProtKB:P47869,DB00897
3044,CHEMBL.COMPOUND:CHEMBL646,UniProtKB:P31644,DB00897
3045,CHEMBL.COMPOUND:CHEMBL646,UniProtKB:Q99928,DB00897
3046,CHEMBL.COMPOUND:CHEMBL646,UniProtKB:P18507,DB00897
3047,CHEMBL.COMPOUND:CHEMBL646,UniProtKB:Q8N1C3,DB00897
3048,CHEMBL.COMPOUND:CHEMBL646,UniProtKB:P34903,DB00897
3049,CHEMBL.COMPOUND:CHEMBL539697,UniProtKB:P00734,DB06695
3050,CHEMBL.COMPOUND:CHEMBL3545237,UniProtKB:P10275,
3051,CHEMBL.COMPOUND:CHEMBL527,UniProtKB:P35354,DB00554
3052,CHEMBL.COMPOUND:CHEMBL527,UniProtKB:P23219,DB00554
3053,CHEMBL.COMPOUND:CHEMBL3544974,UniProtKB:P14416,DB06216
3054,CHEMBL.COMPOUND:CHEMBL3544974,UniProtKB:P28223,DB06216
3055,CHEMBL.COMPOUND:CHEMBL2001019,UniProtKB:P08581,DB12848
3056,CHEMBL.COMPOUND:CHEMBL2355051,UniProtKB:P03372,DB00882
